0,00000000
1,00045981
2,0004594A
3,0004574C
4,00045604
5,00045603
6,00045602
7,00043DE5
8,00043DE3
9,00043DE2
10,00043DD9
11,00031623
12,00017875
13,00017463
14,00017462
15,00017461
16,00016FBE
17,00016FBD
18,00016FBC
19,00016576
20,00016574
21,0001410F
22,00013A53
23,000139B5
24,0001364D
25,000135C1
26,000135C0
27,000135BF
28,000135BD
29,00013549
30,00013211
31,00013210
32,000131C7
33,000122E2
34,00012056
35,00011B55
36,00011B54
37,00011B53
38,00011B52
39,00011B51
40,00011B4D
41,00011B4B
42,0000CF4C
43,00000F2C
44,000C87E7
45,00074914
46,00074913
47,000AC498
48,00089006
49,00089005
50,00089004
51,00089003
52,00089002
53,00072C99
54,0006F4F7
55,0006B622
56,0006B621
57,00068762
58,000673A8
59,000673A7
60,000673A6
61,001886DA
62,00187C9A
63,00187C99
64,00184E2C
65,0017CF9A
66,0017CF99
67,00150F40
68,00150F3F
69,00150F3E
70,0014CD6D
71,0012FBE3
72,0012FBE2
73,0012FBE1
74,0012FBE0
75,0012F749
76,0011A311
77,001194B0
78,00118CF8
79,00115DF5
80,00115DF1
81,00115DEF
82,00115DDE
83,00115DD1
84,00115DC8
85,0010F90D
86,0010DA41
87,000FF6FA
88,000FE8C5
89,000E7824
90,000E7822
91,000E7821
92,000E73F3
93,000E73F2
94,000E73F1
95,000C853D
96,000C853C
97,000C853B
98,000C853A
99,000C4B9F
100,000C4B9E
101,000BA1B1
102,000B9F48
103,000B9EE0
104,0009D88D
105,0009D849
106,0009D848
107,0009D847
108,0009D843
109,0008E09E
110,0008C27F
111,0008C27E
112,0008C27D
113,0008C27C
114,0008C27B
115,000878AD
116,0005DCEA
117,0005DCE9
118,0005DCE8
119,0009F8C0
120,0009DAC4
121,0009DA24
122,0009DA23
123,0009DA22
124,0009DA20
125,0009DA1E
126,0009DA1D
127,0009C74A
128,0009C71D
129,0009C71C
130,0009C719
131,0009C6F7
132,0009C6F4
133,0009C51B
134,0009C51A
135,0009C510
136,0009C4C5
137,0009BE19
138,000984BE
139,000984BD
140,000984BC
141,000984BB
142,000984BA
143,000984B9
144,000984B8
145,000914E6
146,000914E5
147,000914E4
148,00090E32
149,00085477
150,0004F9E4
151,0004F9E3
152,00037DA1
153,00037D9F
154,00037D9E
155,00037D9D
156,00037CF3
157,00037CDF
158,00037846
159,00037571
160,00048B54
161,00048B53
162,00048B52
163,00048B51
164,00048B50
165,00033479
166,00032D46
167,0001EFD2
168,0001E56A
169,0001E569
170,00017845
171,00017843
172,000173AA
173,000173A9
174,000173A8
175,000173A7
176,000173A6
177,0001C1FE
178,0001C1FD
179,0001C1FC
180,0001C1FB
181,0001B97D
182,0001B97C
183,0001B963
184,00017E39
185,000175FD
186,00016491
187,00016490
188,00015DF6
189,00015BE8
190,00015711
191,00014942
192,00035FC6
193,00035DC2
194,00035DC1
195,00035DC0
196,000349BE
197,000349BC
198,00034808
199,00007BF4
200,0002D31B
201,0002CC9A
202,0002C9E5
203,0002C9E4
204,0002AE94
205,0002AE93
206,0002AE87
207,0002AC41
208,00029F96
209,00027A26
210,00027A0C
211,00027A0B
212,00027A0A
213,0002749F
214,0002749E
215,00027363
216,00027362
217,0002506E
218,0002506D
219,000232DA
220,0001C8BE
221,0001C8BD
222,0001C8BC
223,0001C8BB
224,0001C8BA
225,0001C7B7
226,0001C7B6
227,0001C7B4
228,0000087C
229,000008C0
