1,Sand,Tx_sand_01.tga,00000803
2,Rock_Coastal,Tx_coastal_rock_01.tga,00000805
3,Road Dirt,Tx_dirtroad_01.tga,00000807
4,RM_rock_01,Tx_RM_rock_01.tga,00000809
5,RM_rock_02,Tx_RM_rock_02.tga,0000080B
6,AI_Grass_Cobbles,Tx_cobblestone_01.tga,0000080D
7,AI_Grass_Rocky,Tx_grass_rocky_01.tga,0000080F
8,WG_Scrub Plain,Tx_scrubplain_01.tga,00000811
9,AC_darkstone01,Tx_land_darkstone01.tga,00000813
10,AC_darkstone02,Tx_land_darkstone02.tga,00000815
11,AC_darkgravel,Tx_land_darkgravel.tga,00000817
12,AC_darkstone_grass,Tx_land_darkstone_grass.tga,00000819
13,AC_roundstone,Tx_land_roundstone.tga,0000081B
14,WG_rockyscrub,Tx_rockyscrub_01.tga,0000081D
15,WG_rock,Tx_rock_WG_01.tga,0000081F
16,RM_grayrock,Tx_RM_grayrock_01.tga,00000821
17,RM_redrock,Tx_RM_redrock_01.tga,00000823
18,RM_whiterock,Tx_RM_whiterock_01.tga,00000825
19,AL_ash_04,Tx_ashlands_04.tga,00000827
20,AL_ash_03,Tx_ashlands_06.tga,00000829
21,AL_ash_02,Tx_ashlands_07.tga,0000082B
22,AL_ash_01,Tx_ashlands_08.tga,0000082D
23,AL_road_01,Tx_ashlands_road_01.tga,0000082F
24,WG_Scrub Plain,Tx_scrubplain_01.tga,00000811
25,AC_darkstone01,Tx_land_darkstone01.tga,00000813
26,AC_darkstone02,Tx_land_darkstone02.tga,00000815
27,WG_rockyscrub,Tx_rockyscrub_01.tga,0000081D
28,WG_rock,Tx_rock_WG_01.tga,0000081F
29,RM_grayrock,Tx_RM_grayrock_01.tga,00000821
30,tx_Rocky_Mt.tga,tx_Rocky_Mt.tga,0000083D
31,WG_rockydirt,Tx_WG_rockydirt_01.tga,0000083F
32,WG_dirtscrub,Tx_WG_dirtscrub_01.tga,00000841
33,AI_Grass,Tx_grass_01.tga,00000843
34,WG_road,Tx_WG_road_01.tga,00000845
35,WG_dirtroad_01,Tx_WG_dirtroad_01.tga,00000847
36,WG_cobblestones,Tx_WG_cobblestones_01.tga,00000849
37,AI_Grass_Dirt,Tx_AI_grass_dirt_01.tga,0000084B
38,Sand_02,Tx_sand_02.tga,0000084D
39,AI_Dirtroad,Tx_AI_dirtroad_01.tga,0000084F
40,AI_Dirt,Tx_AI_dirt_01.tga,00000851
41,AI_Clover,Tx_AI_clover_02.tga,00000853
42,AI_Grass_02,Tx_AI_grass_01.tga,00000855
43,AI_Tilled_Dirt,Tx_AI_tilled_dirt_01.tga,00000857
44,GL_Dirt_01,Tx_GL_dirt_01.tga,00000859
45,GL_Dirt_02,Tx_GL_dirt_02.tga,0000085B
46,GL_Dirt_Grass_01,Tx_GL_dirt_grass_01.tga,0000085D
47,GL_Dirt_Grass_02,Tx_GL_dirt_grass_02.tga,0000085F
48,GL_Dirtroad,Tx_GL_dirtroad_01.tga,00000861
49,GL_Grass_01,Tx_GL_grass_01.tga,00000863
50,GL_Grass_02,Tx_GL_grass_02.tga,00000865
51,GL_Grass_03,Tx_GL_grass_07.tga,00000867
52,GL_Grass_04,Tx_GL_grass_10.tga,00000869
53,GL_Grass_05,Tx_GL_grass_12.tga,0000086B
54,GL_Rock_01,Tx_GL_rock_01.tga,0000086D
55,GL_Rock_02,Tx_GL_rock_02.tga,0000086F
56,Daedric_scrubruins,Tx_Daed_road.tga,00000871
57,AI_mudflats_01.tga,Tx_AI_mudflats_01.tga,00000873
58,AI_mudflats_01.tga,Tx_AI_mudflats_01.tga,00000873
59,AC_dirt_01,Tx_AC_dirt_01.tga,00000877
60,AC_dirt_grass_01,Tx_AC_dirt_grass_01.tga,00000879
61,AC_dirt_grass_02,Tx_AC_dirt_grass_02.tga,0000087B
62,AC_dirtroad_01,Tx_AC_dirtroad_01.tga,0000087D
63,AC_scrubplain_01,Tx_AC_scrubplain_01.tga,0000087F
64,AC_scrubplain_02,Tx_AC_scrubplain_02.tga,00000881
65,RM_rock_03,Tx_RM_rock_basalt.tga,00000883
66,MA_rock04,Tx_MA_rock04.tga,00000885
67,MA_crackedearth,Tx_MA_crackedearth.tga,00000887
68,MA_sandstone02,Tx_MA_sandstone02.tga,00000889
